listing_id,listing_name,listing_type,room_type,guests,bedrooms,beds,baths,has_tv,has_air_con,has_kitchen,has_wifi,has_pool,min_nights,cancellation_policy,num_reviews,rating_overall,rating_checkin,rating_cleanliness,rating_communication,rating_location,ttm_revenue,ttm_avg_rate,ttm_occupancy,ttm_revpar,ttm_reserved_days,ttm_available_days,l90d_revenue,l90d_avg_rate,l90d_occupancy,l90d_revpar,l90d_reserved_days,l90d_available_days
1001735,2 BDRM Condo in Cebu - opp Ayala.,Condominium,Entire home,4,2,3,2,Yes,Yes,Yes,Yes,Yes,6,Flexible,16,4.5,4.8,4.3,4.7,4.7,586898,4062.2,0.446,1881.1,139,226,0,3763.8,0,0,0,90
1596348,"Romantic Penthouse with a view, King Bed & parking",Others,Entire home,4,2,3,2,Yes,Yes,Yes,Yes,Yes,2,Flexible,122,4.5,4.6,4.5,4.6,4.7,1984795,7653,0.738,5591,262,103,452290,7190,0.8,5653.6,64,26
2165373,BEAUTIFUL MODERN GUEST HOUSE,Home,Entire home,2,1,1,1,Yes,Yes,Yes,Yes,No,1,Moderate,124,4.9,4.9,4.9,4.9,4.7,42885,2179,0.106,252.3,18,347,0,1788.9,0,0,0,90
2765144,3BR/3T&B Luxury 84sqm. Condo,Others,Entire home,5,3,3,1,Yes,Yes,Yes,Yes,Yes,3,Very Strict,96,4.46,4.6,4.5,4.6,4.5,143152,5554.2,0.063,392.2,23,342,30171,5129.1,6.70E-02,335.2,6,84
2797660,Budget Stay in Cebu City | Old but Clean & Central,Private room,Private room,,,2,0,No,Yes,No,Yes,Yes,1,Very Strict,72,4.69,4.8,4.7,4.9,4.8,277152,1096.5,0.682,759.3,249,116,67868,1106.7,0.678,754.1,61,29
3839466,The Crossroad Apt,Others,Entire home,2,1,2,1,Yes,Yes,Yes,Yes,Yes,30,Very Strict,31,4.81,5,4.8,5,4.8,59291,1085.6,0.271,258.9,62,303,16062,744.9,0.272,198.3,22,68
4026631,1 Bedroom with Shower For Rent,Others,Entire home,2,1,1,1,Yes,Yes,Yes,Yes,No,180,Very Strict,1,,,,,,13834,1238.6,3.30E-02,37.9,12,353,6304,1103,6.70E-02,70,6,84
4516686,No Pest Big 1 BR at Cebu Cntr w/ own Parking,Condominium,Entire home,3,1,2,1,Yes,Yes,Yes,Yes,Yes,1,Flexible,60,4.85,5,4.8,4.8,4.8,282151,2735.1,0.263,773,96,269,122919,2950.9,0.367,1365.8,33,57
4560747,Super Cebu Loft Condo Fountain,Others,Entire home,8,1,4,2.5,Yes,Yes,Yes,Yes,Yes,1,Strict,68,4.81,5,4.6,4.9,4.9,135633,6188.4,9.50E-02,558.2,23,342,0,7058,0,0,0,90
4863139,The Purple Room,Others,Entire home,2,1,1,2,Yes,Yes,Yes,Yes,No,30,Very Strict,48,4.79,4.9,4.9,4.9,4.8,156429,2697.4,0.235,533.9,69,296,22251,1761.6,0.895,1171.1,17,73
5035006,Cebu City downtown - spacious loft condo,Others,Entire home,6,1,1,1.5,Yes,Yes,Yes,Yes,Yes,3,Flexible,138,4.72,4.9,4.7,4.9,4.8,526694,3502.6,0.521,1867.7,147,218,138588,3124.4,0.5,1539.9,45,45
5060091,Baseline Fully-Furnished Studio,Condominium,Entire home,2,1,1,1,Yes,Yes,Yes,Yes,Yes,2,Moderate,10,4.6,5,4.8,4.7,5,29602,2219.9,3.60E-02,81.1,13,352,5856,1957.6,3.30E-02,65.1,3,87
