listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days
1001735,2 BDRM Condo in Cebu - opp Ayala.,Entire condo,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-1001735/original/2b43bbc4-335b-47b3-954d-2fdfe3cc13fb.jpeg,32,5509436,Brian,,,FALSE,10.3179,123.9035,4,2,3,2,FALSE,"TV,Cable TV,Wifi,Air conditioning,Pool,Kitchen,Essentials,Hangers,Gym,Elevator,Laundromat nearby,Heating",,FALSE,6,Flexible,PHP,0,0,16,4.5,4.7,4.8,4.3,4.7,4.7,4.6,10322,586898,71.9,4062.2,0.381,0.446,28.3,1607.9,33.1,1881.1,139,53,226,365,0,0,67.5,3763.8,0,0,0,0,0,0,0,30,90,90
1596348,"Romantic Penthouse with a view, King Bed & parking",Entire loft,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MTU5NjM0OA%3D%3D/original/ad617142-a7e0-4b7c-a010-8af493e99e42.jpeg,67,7069051,Amy,544813462,Pearlie,FALSE,10.3103,123.8937,4,2,3,2,FALSE,"TV,Wifi,Air conditioning,Pool,Kitchen,Free parking on premises,Hot water kettle,Portable fans,Gym,Conditioner,Elevator,Laundromat nearby,Outdoor furniture,Cleaning products,Paid parking on premises,Coffee,Clothing storage,Wine glasses,Washer,Dryer,Smoke alarm,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Freezer,Private entrance,Rice maker,Blender,Hot water,Body soap,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Exercise equipment,Shower gel,Patio or balcony,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout,Dining table,Baking sheet,Toaster",FALSE,FALSE,2,Flexible,PHP,42,0,122,4.5,4.5,4.6,4.5,4.6,4.7,4.4,35166,1984795,135.4,7653,0.718,0.738,96.3,5437.8,99.1,5591,262,10,103,365,8110,452290,128.9,7190,0.711,0.8,90.1,5025.4,101.4,5653.6,64,10,26,90
2165373,BEAUTIFUL MODERN GUEST HOUSE,Entire home,entire_home,https://a0.muscache.com/im/pictures/d0a3fb97-d37d-4d6c-803e-e274c98151ff.jpg,39,11048634,"Nelson,T",,,FALSE,10.3615,123.9123,2,1,1,1,FALSE,"TV,Cable TV,Wifi,Air conditioning,Kitchen,Free parking on premises,Hot water,Coffee maker,Refrigerator,Cooking basics,Stove,Washer,Single level home,Smoke alarm,Carbon monoxide alarm,Patio or balcony,First aid kit,Backyard,Fire extinguisher,Luggage dropoff allowed,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace",,FALSE,1,Moderate,PHP,5,0,124,4.9,4.9,4.9,4.9,4.9,4.7,4.8,750,42885,38.5,2179,0.049,0.106,2.1,117.5,4.4,252.3,18,195,347,365,0,0,32.1,1788.9,0,0,0,0,0,0,0,90,90,90
2765144,3BR/3T&B Luxury 84sqm. Condo,Entire loft,entire_home,https://a0.muscache.com/im/pictures/36000949/851c6923_original.jpg,31,14144348,Kevin Allen,,,FALSE,10.309,123.8954,5,3,3,1,FALSE,"TV,Washer,Cable TV,Dryer,Smoke alarm,Wifi,Air conditioning,Pool,Kitchen,Essentials,Shampoo,Hangers,Hair dryer,Iron,Gym,Elevator,Heating",,FALSE,3,Firm,PHP,25,25,96,4.46,4.5,4.6,4.5,4.6,4.5,4.1,2506,143152,98.3,5554.2,0.063,0,6.9,392.2,0,0,23,0,342,365,541,30171,92,5129.1,0.067,0,6,335.2,0,0,6,0,84,90
2797660,Budget Stay in Cebu City | Old but Clean & Central,Private room in rental unit,private_room,https://a0.muscache.com/im/pictures/miso/Hosting-2797660/original/0b10e551-1ce1-47fd-8e1d-6ef9c8527b5f.jpeg,35,14310547,Chun CHIA,"116,625,821,504,669,000,000,000,000","郁璇,Pei,Jessah Jay Manapsal",FALSE,10.3379,123.9083,,,2,0,FALSE,"Stove,Smoke alarm,Shower gel,Wifi,Air conditioning,Pool,Essentials,Shampoo,Room-darkening shades,Hangers,Hair dryer,Hot water,Iron,Dedicated workspace,Outdoor shower,Elevator,Bed linens,Laundromat nearby,Private entrance,Refrigerator,Dishes and silverware,Clothing storage",,FALSE,1,Firm,PHP,5,0,72,4.69,4.8,4.8,4.7,4.9,4.8,4.8,4903,277152,19.4,1096.5,0.682,0,13.4,759.3,0,0,249,0,116,365,1217,67868,19.8,1106.7,0.678,0,13.5,754.1,0,0,61,0,29,90
3839466,The Crossroad Apt,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/50859116/c1ad9b6d_original.jpg,12,19653124,John,,,FALSE,10.3276,123.9086,2,1,2,1,FALSE,"TV,Cable TV,Wifi,Air conditioning,Pool,Kitchen,Hot water,Gym,Elevator,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Washer,Fire extinguisher,Essentials,Long term stays allowed,Shampoo,Iron",,FALSE,30,Firm,PHP,,,31,4.81,4.9,5,4.8,5,4.8,4.8,1057,59291,19.2,1085.6,0.17,0.271,2.9,162.4,4.6,258.9,62,136,303,365,288,16062,13.4,744.9,0.244,0.272,3.2,178.5,3.6,198.3,22,9,68,90
4026631,1 Bedroom with Shower For Rent,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/50623529/ef504776_original.jpg,7,3564250,Stephanie,,,FALSE,10.3217,123.9117,2,1,1,1,FALSE,"TV,Washer,Cable TV,Smoke alarm,Wifi,Air conditioning,Fire extinguisher,Luggage dropoff allowed,Kitchen,Free parking on premises,Hangers,Hot water,Gym,Elevator,Free street parking,Hot tub,Paid parking on premises",,FALSE,180,Firm,PHP,0,0,1,,,,,,,,248,13834,21.9,1238.6,0.033,0,0.7,37.9,0,0,12,0,353,365,113,6304,19.8,1103,0.067,0,1.3,70,0,0,6,0,84,90
4516686,No Pest Big 1 BR at Cebu Cntr w/ own Parking,Entire condo,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-4516686/original/8e2275de-3167-431c-8d1b-84c23cce2476.png,63,23417601,Jerry,,,TRUE,10.3124,123.9114,3,1,2,1,FALSE,"TV,Wifi,Air conditioning,Pool,Kitchen,Free parking on premises,Hot water kettle,Books and reading material,Gym,Elevator,Laundromat nearby,Cleaning products,Drying rack for clothing,Paid parking on premises,Clothing storage,Wine glasses,Washer,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Bidet,Essentials,Shampoo,Hangers,Hair dryer,Iron,Theme room,Rice maker,Outlet covers,Room-darkening shades,Hot water,Body soap,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Single level home,Shower gel,Long term stays allowed,Safe,Cleaning before checkout,Dining table,Outdoor playground,Toaster",,FALSE,1,Limited,PHP,28,0,60,4.85,4.8,5,4.8,4.8,4.8,4.8,5007,282151,48.5,2735.1,0.263,0,13.7,773,0,0,96,0,269,365,2204,122919,52.9,2950.9,0.367,0,24.5,1365.8,0,0,33,0,57,90
4560747,Super Cebu Loft Condo Fountain,Entire loft,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-4560747/original/5eb62e5e-f987-4ce0-a98a-070d8026c6cf.jpeg,31,23644355,Jessamine,,,FALSE,10.3068,123.8952,8,1,4,2.5,FALSE,"TV,Wifi,Air conditioning,Pool,Kitchen,Room-darkening shades,Hot water kettle,Pets allowed,Hot water,Elevator,Bed linens,Hot tub,Microwave,Cleaning products,Coffee maker,Refrigerator,Drying rack for clothing,Dishes and silverware,Cooking basics,Oven,Stove,Washer,Fire extinguisher,Essentials,Long term stays allowed,Safe,Shampoo,Hangers,Dining table,Hair dryer,Dedicated workspace,Toaster,Rice maker,Bathtub",,FALSE,1,Strict,PHP,28,0,68,4.81,4.7,5,4.6,4.9,4.9,4.7,2389,135633,109.9,6188.4,0.063,0.095,6.5,371.6,9.8,558.2,23,122,342,365,0,0,126.6,7058,0,0,0,0,0,0,0,31,90,90
4863139,The Purple Room,Entire loft,entire_home,https://a0.muscache.com/im/pictures/65277305/febbf388_original.jpg,37,19653124,John,,,FALSE,10.3087,123.8947,2,1,1,2,FALSE,"TV,Cable TV,Wifi,Air conditioning,Kitchen,Paid parking off premises,Hot water,Elevator,Microwave,Refrigerator,Paid parking on premises,Stove,Washer,Dryer,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Essentials,Long term stays allowed,Shampoo,Hangers,Iron,Private entrance",,FALSE,30,Firm,PHP,,,48,4.79,4.9,4.9,4.9,4.9,4.8,4.8,2733,156429,47.7,2697.4,0.189,0.235,7.5,428.6,9.3,533.9,69,72,296,365,399,22251,31.6,1761.6,0.189,0.895,4.4,247.2,21,1171.1,17,71,73,90
