listing_id,date,vacant_days,reserved_days,occupancy,revenue,rate_avg,booked_rate_avg,booking_lead_time_avg,length_of_stay_avg,min_nights_avg,native_booked_rate_avg,native_rate_avg,native_revenue
23792859,1/1/2025,31,0,0,0,27.6,,,,1,,1593,0
23792859,2/1/2025,7,21,0.75,553,26.8,26.3,227,21,1,1536,1566,32307
23792859,3/1/2025,30,1,0.032,25,23.7,25,218,1,1,1449,1373,1449
23792859,4/1/2025,30,0,0,0,28,,,,1,,1603,0
23792859,5/1/2025,31,0,0,0,29.3,,,,1,,1638,0
23792859,6/1/2025,30,0,0,0,29.1,,,,1,,1623,0
23792859,7/1/2025,31,0,0,0,29.7,,,,1,,1656,0
23792859,8/1/2025,31,0,0,0,25.9,,,,1,,1444,0
23792859,9/1/2025,30,0,0,0,25.1,,,,1,,1400,0
23792859,10/1/2025,30,1,0.032,23,24.4,23,133,1,1,1283,1361,1283
23792859,11/1/2025,30,0,0,0,21.6,,,,1,,1205,0
23792859,12/1/2025,31,0,0,0,21.6,,,,1,,1205,0
26328751,1/1/2025,27,4,0.129,195,47.1,48.8,31,4,4,2817,2719,11258
26328751,2/1/2025,28,0,0,0,47.8,,,,4,,2793,0
26328751,3/1/2025,31,0,0,0,47,,,,4,,2723,0
26328751,4/1/2025,30,0,0,0,46.7,,,,4,,2673,0
26328751,5/1/2025,31,0,0,0,47.1,,,,4,,2632,0
26328751,6/1/2025,18,12,0.4,563,47.4,46.9,1,14,4,2616,2644,31399
26328751,7/1/2025,28,3,0.097,142,46.6,47.3,2,1,4,2638,2599,7919
26328751,8/1/2025,31,0,0,0,39.9,,,,4,,2225,0
26328751,9/1/2025,26,4,0.133,127,34.5,31.8,2,4,3,1773,1924,7083
26328751,10/1/2025,31,0,0,0,34.4,,,,3,,1918,0
26328751,11/1/2025,29,1,0.033,29,31.8,29,1,1,4,1617,1773,1617
26328751,12/1/2025,31,0,0,0,35.2,,,,4,,1963,0
22805272,1/1/2025,31,0,0,0,49.9,,,,,,2881,0
22805272,2/1/2025,28,0,0,0,50.3,,,,,,2939,0
22805272,3/1/2025,31,0,0,0,50.8,,,,,,2943,0
22805272,4/1/2025,24,6,0.2,309,50.7,51.5,,,,2948,2902,17687
22805272,5/1/2025,0,31,1,1572,50.7,50.7,,,,2834,2834,87856
22805272,6/1/2025,15,15,0.5,762,50.3,50.8,,,,2833,2805,42497
22805272,7/1/2025,31,0,0,0,50.7,,,,2,,2828,0
22805272,8/1/2025,31,0,0,0,46.4,,,,2,,2588,0
22805272,9/1/2025,30,0,0,0,45.3,,,,2,,2526,0
22805272,10/1/2025,31,0,0,0,45.8,,,,2,,2554,0
22805272,11/1/2025,30,0,0,0,45.5,,,,2,,2538,0
22805272,12/1/2025,31,0,0,0,45.4,,,,2,,2532,0
24707960,1/1/2025,16,15,0.484,184,12.1,12.3,31,1,1,710,699,10623
24707960,2/1/2025,13,15,0.536,184,12.2,12.3,11,7,1,719,713,10749
24707960,3/1/2025,17,14,0.452,175,12.2,12.5,,,1,724,707,10140
